ANALOGY,,,,,,,
Question,Option A,Option B,Option C,Option D,Option E,Answer,Bin
STUTTER : SPEECH ::,blare : hearing,aroma : smell,astigmatism : sight,novocain : touch,salt : taste,C,1
PARDON : FORGIVING ::,pilfer : jailed,overstate : retold,proof-read : mistaken,lie : untruthful,pray : kneeling,D,1
PALATE : MOUTH ::,kerb : footpath,cockpit : aircraft,rivulet : dam ,hill : range,ceiling : room,E,1
DETERIORATION : QUALITY,excitement : activity,gyration : bicyle,depreciation : value,meditation : devotion,blast : explosive,C,1
VIGILANT : DANGER ::,frugal : indigence,compulsive : perfection,capricious : change,obliging : rapport,diligent : simplicity,A,1
GUARD : PROTECT ::,chef : eat,pilot : steer,subordinate : command,attorney : retain,major : obey,B,1
MALADROIT : SKILL ::,indignant : anger,irrational : intuition,lazy : weariness,glib : profundity,melancholy : despair,D,2
IMPORTUNE : REQUEST ::,encourage : bargain,flatter : compliment,surrender : enslave,conciliate : placate,detect : chase,B,1
INDIGENCE : FUNDS ::,allegiance : employment,avarice : possessions,lassitude : vigor,rehearsal : presentation,repudiation : hypothesis,C,1
COLANDER : DRAIN ::,thermometer : calibrate,statue : sculpt,sluice : inundate,centrifuge : separate,television : broadcast,D,1
ACROBAT : AGILITY ::,engineer : focus,mariner : navigation,judge : precedent,industrialist : credibility,surgeon : dexterity,E,1
FAREWELL : VALEDICTION ::,oration : prediction,fiat : condescension,manifesto : indecision,stutter : heistation,praise : panegyric,E,1
LUSTROUS : BURNISH ::,radiant : reflect,insensible : numb,boisterous : heckle,odious : sicken,winding : braid,B,1
PIANO : HAMMER ::,gramophone : needle,car : horn,mouth : tongue,radio : amplifier,bell : clapper,E,1
HYPOTHESIS : PROOF ::,remark : utterance,promise : fulfillment,prodding : necessity,implementation : purpose,endorsement : insurance,B,1
CINNAMON : SPICE ::,cocoa : chocolate,lead : pencil,salt : mineral,beet : sugar,mica : mine,C,1
NOVEL : FOREWORD ::,symphony : interlude,argument : verdict,statute : preamble,discourse : epilogue,movie : premiere,C,1
CONGREGATION : WORSHIPPERS ::,personnel : employees,alms : philanthropists,performance : audience,puppetry : players,independence : crusaders,A,1
TEMERITY : TIMID ::,alacrity : apathetic,stubbornness : eager,frankness : inept,obedience : skillful,tyranny : conceited,A,1
VIABLE : LIVE ::,edible : eat,audible : speak,portable : convey,educable : learn,potable : drink,D,2
ILLEGIBILITY : READING ::,impermeability : distillation,enumeration : ordering,indelibility : erasure,reactiveness : stimulation,reflectivity : visibility,C,1
PATRIOT : COUNTRY ::,pagan : chastity,devotee : religion,recluse : companionship,disciple : pupil,patient : medication,B,1
VINDICTIVE : VENGEANCE ::,dull : accomplished,hedonistic : pleasure,precocious : youth,interested : empathy,wicked : mercy,B,1
JUDGE : GAVEL ::,detective : clue,physician : stethoscope,referee : whistle,soldier : epaulette,speaker : volume,C,1
DILAPIDATED : RESTORATION ::,released : disclosure,shattered : collapse,extinguished : rekindling,conciliated : refreshment,sheltered : rehabilitation,C,2
DUPE : CREDULITY ::,hero : passion,connoisseur : discrimination,philosopher : rhetoric,analyst : logistics,victor : abruptness,B,1
FAULT : PERFECTION ::,stars : cosmos,spouse : annulment,matter : vacuum,candidate : vacancy,votes : election,C,1
RANK : VALUE ::,shuffle : sequence,instruct : ability,sort : criterion,disjoin : amount,vote : opinion,C,1
TAXONOMIST : CLASSIFY ::,mason : build,mimic : laugh,doctor : study,detective : pretend,convert : pray,A,1
IRRESOLUTE : VACILLATE ::,barbaric : retaliate,mendacious : prevariate,charitable : reciprocate,moody : aggravate,thoughtful : mitigate,B,1
ANTIBIOTIC : INFECTION ::,antibody : bruise,antidote : poisoning,purgative : eating,anticlimax : episode,aversion : fondness,B,1
ARID : MOISTURE ::,stagnant : movement,gruesome : terror,unbiased : balance,damaged : blemish,plowed : irrigation,A,1
PANTOMIMIST : VIEWER ::,accompanist : vocalist,critic : reviewer,humorist : librarian,anthologist : editor,storyteller : listener,E,1
MUSEUM : PAINTING ::,safari : escort,supermarket : shopper,herd : cattle,river : stream,zoo : animal,E,1
LITIGIOUS : LAWSUITS ::,fearful : phobias,culpable : punishments,childish : ambitions,contentious : quarrels,deceitful : prizes,D,1
PARDON : SIN ::,resign : defeat,forgive : debt,forego : penalty,renounce : power,avoid : pleasure,B,2
MOVEMENT : SYMPHONY ::,title : book,hymn : prayer,outline : drawing,idol : fresco,canto : poem,E,2
LEGEND : MAP ::,volume : guidebook,profession : biography,glossary : text,column : essay,issue : print,C,1
WHETSTONE : SHARPEN ::,pestle : grind,balloon : buoy,mill : screw,hinge : move,switch : guide,A,1
EXERCISE : STRONG ::,perform : timid,guard : alert,decide : shrewd,drink : thristy,read : knowledgeable,E,1
